par_id,keyword,country,text,label,orig_label
5423,disabled,nz,Critics have even taken to dobbing in Katrina Bungard to National Party leader Bill English when they see her sign-written car bearing her name and photo parked in disabled parks .,0,0
6890,in-need,us,Alexis and her family decided to donate more than 400 of those presents to children in need .,0,0
1394,vulnerable,au,"Mr Porter , do you think you will get the numbers needed from the remaining senators and do you agree that , if implemented , some vulnerable people will fall through the cracks and the streets could be un-safer as a consequence ?",1,4
4445,vulnerable,za,""""""" This only serves to highlight the importance of the unabridged birth certificate ruling , since the department of home affairs has a responsibility , as a signatory member of the UN Child Protection convention , to close all loopholes and protect the most vulnerable in our society . """"""",0,1
7991,hopeless,ca,""""""" I was nervous , but life has taught me over the years to avoid any heartbreaks , to avoid any hopelessness . You 've got to create options , even where there are none , """" he said . """" Even if the option that you will create for yourself is how you will accept the loss . """"""",0,0
7611,hopeless,ke,"The county boss noted that the goal is to liberate youths from dependency , poverty , apathy and hopelessness .",1,3
4985,refugee,gb,"Just over half of refugees in 2015 were children , according to UNHCR data , with 98,400 asylum requests coming from children who had been separated from their parents or were travelling unaccompanied .",0,0
3618,disabled,bd,""""""" Our budgets are not friendly towards disabled people . It does not allocate funds these helpless people need . The finance minister is himself a retard . """"""",1,3
4958,homeless,tz,"This is because it has has proved to be the most appropriate survey to give extensive data on the informal sector . Moreover , in such combined surveys it is possible to cover easily all persons ( excluding the homeless ) employed in the informal sector regardless of the business size , the kind of activities performed and type of workplaces used and jobs ( main or secondary ) which are either performed inside business owners ' home or performed without any fixed location ( Bugheri , et al . 2002 ) .",0,0
7585,vulnerable,us,""""""" We are vulnerable because we currently report all of our income in the United States and pay a tax rate of about 38 percent on that income , """" said founder Jim Koch to the Senate Homeland Security and Governmental Affairs Subcommittee on Investigations last Thursday . """" Because of our broken corporate tax system , I can honestly say that I will likely be the last American owner of the Boston Beer Company . """"""",0,0
5,refugee,ca,""""""" Just like we received migrants fleeing El Salvador and Guatemala in the ' 80s and ' 90s , just like we 've seen thousands of economic refugees , we started seeing Mexicans fleeing the violence in Ju ? rez and other parts of Mexico , """" says shelter director Ruben Garcia .""",0,0
8600,in-need,ca,B.C. housing minister Selina Robinson said that the project represents hope for many women and families in need .,1,4
4863,vulnerable,za,"""The march was led by eThekwini mayor , Cllr Zandile Gumede . KwaZulu-Natal premier , Willies Mchunu said , """" Real men must stand up and defend the most vulnerable members of society- women and children . We must not stand by and watch this terrible scourge tear apart the fabric of our communities and society . """"""",1,4
2780,homeless,jm,"""At such times , the principle of Christ would warm the hearts of the brothers and sisters . """" When I was hungry , you feed me ; when I was thirsty you gave me to drink , when I was naked , you clothed me , when I was sick and homeless you took me in . """" Welcome into my kingdom ! <h> The distorted body was taken to a funeral home""",1,4
7390,homeless,in,The fatalities included a woman in the city of San Marcos who was killed by a falling wall and a homeless man in the town of San Sebastian Retalhueleu who was struck by the collapse of part of a church . Both locales were close to the epicenter .,0,0
2482,disabled,my,""""""" The adoption of these declarations is a testament to the Govern ? ment 's continuous efforts to provide for the disabled and to ensure their active interaction with society , """" said Rohani , whose speech was read out by her deputy Datin Paduka Chew Mei Fun .""",0,0
421,migrant,ie,"The Irish , both the immigrants and their descendants , were the largest ethnic grouping within Lee 's army at Gettysburg , with every Southern State represented by Irish units such as the Emerald Guards , Emmet Guards and O'Connell Guards , all of whom lined up to charge the Union lines along Cemetery Ridge on the morning of July 3 .",0,0
3888,hopeless,bd,""""""" We feel helpless and hopeless , """" said Rohingya youth leader Ali Johar , who came to India in 2012 and lives with his family in a Delhi settlement .""",0,0
5314,migrant,gb,"Universities want more overseas students , the Treasury likes the tax returns from migrant workers , and labour markets enjoy the flexibility it brings . Sports clubs and theatres cry foul if controls affect them . Everyone has a special plea .",0,0
2012,hopeless,in,"History tells us that a lot of good programmes got their start when one individual looked at a familiar landscape in a fresh way . These creative and passionate individuals saw possibilities where others saw only hopelessness , and imagined a way forward when others saw none . What they did was just to change the fundamental approach to solving problems .",0,0
5387,immigrant,ng,"Trump has taken strong anti-immigrant stances after running a campaign that focused on limiting Muslim refugee access to the U.S. and building a wall to border Mexico . On Friday , the president signed an executive action to establish new vetting procedures for some people seeking to enter the U.S. , saying the measure would prevent terrorists from being admitted .",0,0
399,refugee,in,"The tide of people moving across the world as immigrants or refugees has sparked concern in the developed world -- from the United States to Europe to Australia . In particular , the ethnic , linguistic and cultural background of the many seeking asylum or economic opportunity has triggered debates , especially in rich countries , over the benefits and the costs of growing diversity at home .",0,1
2871,in-need,ca,"NDP foreign affairs critic Paul Dewar accused the government of breaking from the international community as well as Canada 's own tradition of accepting those most in need of protection , no matter their backgrounds .",1,3
2326,vulnerable,us,"Trinidad was convicted in 2009 of intentional child abuse and felony lewd acts with a vulnerable person , according to the Puerto Rico sex offender registry , which lists the VA hospital as his employer .",0,0
3426,disabled,ke,""""""" And then there is the way people look at you . It 's complicated , even within our own families . Some reject us because we 're disabled , """" she says .""",0,0
5635,in-need,ke,"I totally understand that we could all find ourselves in a tight spot and in need of help , but I would not encourage any man to go there unless he has no other alternative .",0,0
332,homeless,ie,"""He said his clients have been in contact with Dublin City Council and the Dublin Regional Housing Executive , and were satisfied there was capacity at other facilities operating as emergency accommodation for the homeless . The receivers were sympathetic to the plight of the homeless , but the occupation was illegal and a form of """" political protest """" .""",0,1
353,refugee,sg,""""""" These migrants , many of whom are refugees , are desperate for a better future , """" Ban said . """" We need to strengthen search and rescue operations , and stop the criminals who exploit the most vulnerable people . We need to address the roots of the problem . """"""",1,3
